Location,Latitude,Longitude,"Coordinates, ",Report Number,Last Modified,Repored On,Incident From,Incident To,Incident Type,,Description
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-3214, 07-25-201720:59, 07-25-201708:01, 07-24-201718:30, 07-25-201707:30, Theft,, Male non-affiliate reports Theft by an unknown suspect. Case closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-3491, 08-13-201721:13, 08-13-201715:19, 07-30-201719:56, 08-13-201715:19, Theft,, Female non-affiliate reports theft by unknown suspect.  Case closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-3497, 08-14-201711:09, 08-14-201708:34, 08-13-201719:00, 08-13-201721:00, Theft,, A male non-affiliate reports Theft by an unknown suspect.  Case closed
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-3621, 08-20-201722:30, 08-20-201720:55, 08-20-201719:30, 08-20-201720:50, Theft,, Male non-affiliate reports Theft by known suspect. Case Closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-4784, 10-12-201714:43, 10-12-201713:29, 10-02-201712:00, 10-09-201712:00, Theft,," Female staff reports Theft, suspect unknown. Case closed"
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-4868, 10-18-201708:54, 10-16-201721:52, 10-16-201707:30, 10-16-201721:52, Theft,, Female non-affiliate reports theft by unknown suspect.  Case closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-1310, 03-28-201709:39, 03-27-201717:34, 03-15-201710:00, 03-20-201713:00, Theft (from Auto),, Male non-affiliate reports theft by unknown suspect.  Case closed.
" Comprehensive Cancer Center Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-3360, 08-05-201712:43, 08-05-201709:40, 08-04-201706:45, 08-05-201708:45, Theft (Of Bicycle),, Female faculty reports Theft (Of Bicycle) by an unknown suspect. Case closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-1623, 04-13-201714:26, 04-13-201712:58, 04-13-201712:58, 04-13-201712:58, Traffic Crash-Property Damage,, Male staff reports a property damage traffic crash. Case Closed.
" James Cancer Hospital Ohio State Campus, Columbus, Ohio",39.9947959,-83.0198025,"39.9947959, -83.0198025",17-4809, 10-13-201714:03, 10-13-201712:48, 10-13-201708:11, 10-13-201712:45, Traffic Crash-Property Damage,, Female non-affiliate reports Traffic Crash-Property Damage. Case closed.
" Counseling and Consultation Service Ohio State Campus, Columbus, Ohio",39.9948517,-83.0140932,"39.9948517, -83.0140932",17-0620, 02-10-201722:48, 02-10-201716:11, 02-10-201716:11, 02-10-201716:11, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Counseling and Consultation Service Ohio State Campus, Columbus, Ohio",39.9948517,-83.0140932,"39.9948517, -83.0140932",17-1920, 05-01-201709:51, 04-28-201714:03, 04-28-201714:03, 04-28-201714:03, Ill Aided,, Female staff reports ill aided. Case closed
" CCS (Lincoln Tower) Ohio State Campus, Columbus, Ohio",39.9948517,-83.0140932,"39.9948517, -83.0140932",17-4145, 09-13-201712:26, 09-13-201709:22, 09-13-201709:22, 09-13-201709:22, Ill Aided,, Female staff reports ill aided
" Counseling and Consultation Service Ohio State Campus, Columbus, Ohio",39.9948517,-83.0140932,"39.9948517, -83.0140932",17-4339, 09-22-201714:18, 09-22-201710:37, 09-22-201710:37, 09-22-201710:37, Ill Aided,, Male staff reports ill aided.  Case closed.
" Counseling and Consultation Services Ohio State Campus, Columbus, Ohio",39.9948517,-83.0140932,"39.9948517, -83.0140932",17-4781, 10-12-201714:27, 10-12-201712:06, 10-12-201712:06, 10-12-201712:06, Ill Aided,, Male staff reports ill aided. Case Closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-0110, 01-12-201718:55, 01-12-201710:50, 01-11-201708:00, 01-11-201717:00, Administrative Information,, Female staff reports Administrative Information. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1223, 03-21-201717:44, 03-21-201715:49, 03-21-201715:49, 03-21-201715:49, Administrative Information,, Female staff reports Administrative Information. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1875, 04-27-201712:42, 04-26-201707:50, 04-25-201705:10, 04-25-201705:10, Administrative Information,, Female staff reports Administrative Information. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-3820, 08-28-201706:34, 08-28-201704:54, 08-28-201704:54, 08-28-201704:54, Assist Other Agency,, Male staff reports Assist Other Agency.  Case closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-0445, 02-01-201720:14, 02-01-201714:43, 02-01-201714:43, 02-01-201714:43, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-0605, 02-10-201708:32, 02-09-201715:02, 02-09-201715:02, 02-09-201715:02, Ill Aided,, Female staff member reports Ill-Aided.  Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-0829, 02-22-201713:15, 02-22-201710:58, 02-22-201710:58, 02-22-201710:58, Ill Aided,, Female staff reports ill aided.  Case closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1058, 03-10-201710:00, 03-09-201715:45, 03-09-201715:45, 03-09-201715:45, Ill Aided,, Male staff reports ill aided.  Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1256, 03-24-201715:31, 03-24-201714:19, 03-24-201714:19, 03-24-201714:19, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1338, 03-29-201714:48, 03-29-201712:48, 03-29-201712:48, 03-29-201712:48, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1561, 04-10-201714:59, 04-10-201709:28, 04-10-201709:28, 04-10-201709:28, Ill Aided,, Male staff reports ill aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1566, 04-10-201721:23, 04-10-201714:47, 04-10-201714:47, 04-10-201714:47, Ill Aided,, Male staff reports ill aided.  Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1738, 04-19-201714:19, 04-19-201709:57, 04-19-201709:57, 04-19-201709:57, Ill Aided,, Female staff reports ill aided. Case Closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1745, 04-19-201721:01, 04-19-201715:09, 04-19-201715:09, 04-19-201715:09, Ill Aided,, Male staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1746, 04-19-201721:02, 04-19-201714:55, 04-19-201714:55, 04-19-201714:55, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1766, 04-20-201722:19, 04-20-201716:34, 04-20-201716:34, 04-20-201716:34, Ill Aided,, Male staff reports Ill-Aided.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1853, 04-24-201714:34, 04-24-201709:57, 04-24-201709:57, 04-24-201709:57, Ill Aided,, Female staff reports ill aided. case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1882, 04-26-201721:32, 04-26-201718:31, 04-26-201718:31, 04-26-201718:31, Ill Aided,, Male staff reports Ill Aided. Case closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1994, 05-04-201714:26, 05-03-201709:18, 05-03-201709:18, 05-03-201709:18, Ill Aided,, A female staff member reports Ill-Aided. Case closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1995, 05-03-201714:22, 05-03-201709:28, 05-03-201709:28, 05-03-201709:28, Ill Aided,, A female staff member reports Ill-Aided. Case closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-2122, 05-12-201714:34, 05-12-201710:21, 05-12-201710:21, 05-12-201710:21, Ill Aided,, Female staff reports ill aided. Case Closed
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-2227, 05-19-201714:18, 05-19-201709:11, 05-19-201709:11, 05-19-201709:11, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-2429, 06-02-201719:45, 06-02-201714:49, 06-02-201714:49, 06-02-201714:49, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-3215, 07-25-201721:01, 07-25-201708:42, 07-25-201708:42, 07-25-201708:42, Ill Aided,, Female staff reports Ill Aided. Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-3886, 08-31-201714:25, 08-31-201711:13, 08-31-201711:13, 08-31-201711:13, Ill Aided,, Female staff reports ill-aided. Case Closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-3890, 08-31-201717:54, 08-31-201714:37, 08-31-201714:37, 08-31-201714:37, Ill Aided,, Female staff reports ill aided.  Case closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-4635, 10-05-201715:01, 10-05-201714:19, 10-05-201714:19, 10-05-201714:19, Ill Aided,, Male staff reports ill aided. Case Closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-4767, 10-17-201709:20, 10-11-201714:10, 10-11-201714:10, 10-11-201714:10, Ill Aided,, Female staff reports ill aided. Case Closed.
" Younkin Success Center Ohio State Campus, Columbus, Ohio",39.9949007,-83.0142076,"39.9949007, -83.0142076",17-1239, 03-23-201714:30, 03-23-201710:03, 03-23-201710:03, 03-23-201710:03, Missing Person,, Female staff reports missing persons. Case closed
" Huntington National Bank (James Cancer Hospital) Ohio State Campus, Columbus, Ohio",39.9949749,-83.0196342,"39.9949749, -83.0196342",17-1509, 04-07-201714:19, 04-07-201714:16, 06-24-201500:00, 06-02-201700:00, Telecommunications Fraud,, Male non-affiliate reports Telecommunications Fraud by a known suspect. Investigation pending.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-3312, 08-04-201712:35, 08-02-201711:43, 08-01-201711:00, 08-01-201711:00, Criminal Damaging,, Male non-affiliate reports criminal damaging by unknown suspect. Case Closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-4168, 09-14-201715:56, 09-14-201709:39, 09-14-201709:39, 09-14-201709:39, Property Impound,, Male staff reports Property Impound. Case closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-0119, 01-12-201721:41, 01-12-201720:43, 01-12-201718:00, 01-12-201719:00, Theft,, Male student reports theft by unknown suspect. Case closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-4386, 09-23-201719:16, 09-23-201718:14, 09-23-201717:30, 09-23-201718:10, Theft,, Female student reports Theft by an unknown suspect. Case closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-1086, 03-10-201717:23, 03-10-201715:50, 03-10-201715:15, 03-10-201715:45, Theft (From Auto),, Male student reports Theft (From Auto) and Criminal Damaging by an unknown suspect. Case closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-1261, 03-25-201706:03, 03-24-201722:35, 03-24-201722:15, 03-24-201722:30, Theft (From Auto),, Female student reports Theft from Auto by unknown suspect.  Case closed.
" Jesse Owens Recreation Center South Ohio State Campus, Columbus, Ohio",39.9950017,-83.0118691,"39.9950017, -83.0118691",17-1294, 03-26-201722:42, 03-26-201715:11, 03-26-201711:00, 03-26-201715:00, Theft (From Auto),, Female non-affiliate reports theft and criminal damaging by unknown suspect.  Case Closed.
" 33 W. 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-1650, 04-17-201709:30, 04-14-201712:04, 04-13-201717:00, 04-14-201707:30, Criminal Damaging,, Female staff reports Criminal Damaging by unknown suspect. Case closed.
" 33 West 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-3071, 07-15-201714:42, 07-15-201711:19, 07-14-201720:30, 07-15-201710:55, Criminal Damaging,, Female staff reports Criminal Damaging by unknown suspect. Case Closed.
" 33 W. 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-3959, 09-04-201704:32, 09-04-201700:44, 09-04-201700:44, 09-04-201700:44, Possession of Drugs,, Male staff reports Possession of Drugs by known suspect.  Case closed
" 33 W. 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-2001, 05-07-201708:44, 05-03-201713:16, 04-25-201718:00, 04-26-201709:00, Theft,," Male staff reports Theft (of Bicycle), suspect unknown. Case closed"
" 33 W. 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-2670, 06-16-201712:17, 06-16-201709:27, 06-15-201708:30, 06-15-201710:30, Theft,, A female staff member reports Theft by unknown suspects. Case closed
" 33 W. 11th Ave Ohio State Campus, Columbus, Ohio",39.9950025,-83.007994,"39.9950025, -83.007994",17-2081, 05-09-201722:36, 05-09-201721:54, 05-09-201718:30, 05-09-201721:30, Theft (From Auto),, Male student reports theft from auto by unknown suspect.  Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1724, 04-19-201714:22, 04-18-201712:38, 04-14-201723:30, 04-14-201723:30, Administrative Information,, Male non-affiliate reports administrative information. Case closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1582, 04-11-201718:25, 04-11-201714:21, 04-11-201714:21, 04-11-201714:21, Assault,, Female non-affiliate reports Assault by a known suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-4588, 10-03-201705:14, 10-03-201702:48, 10-03-201702:48, 10-03-201702:48, Assault,, Female staff reports Assault by known suspect.  Closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0975, 03-03-201706:13, 03-03-201704:46, 03-03-201704:46, 03-03-201704:46, Assist Other Agency,," Female non-affiliate, Latasha McCauley, arrested on Outstanding CPD Warrants. Case closed."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0975, 03-03-201706:13, 03-03-201704:46, 03-03-201704:46, 03-03-201704:46, Assist Other Agency,," Female non-affiliate, Latasha McCauley, arrested on Outstanding CPD Warrants. Case closed."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1024, 03-06-201722:51, 03-06-201717:27, 03-06-201717:27, 03-06-201717:27, Assist Other Agency,," Female non-affiliate, Troyona Lynne Robertson age 20, arrested on outstanding warrants.  Case closed."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3081, 07-16-201713:59, 07-16-201711:10, 07-16-201711:10, 07-16-201711:10, Assist Other Agency,," Male non-affiliate, Jacob T. Mozingo, age 25, was arrested on an outstanding warrant. Arrest adult."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0602, 02-10-201713:30, 02-09-201712:16, 02-09-201716:10, 02-09-201716:10, Burglary,, A male staff member reports Burglary by a known suspect. Investigation Pending.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3970, 09-04-201714:23, 09-04-201711:37, 09-04-201711:30, 09-04-201711:30, Criminal Damaging,, A male staff reported a Criminal Damaging by an identified suspect. Case closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1861, 04-25-201704:22, 04-25-201723:17, 04-25-201723:17, 04-25-201723:17, Criminal Trespass,, Male staff reports criminal trespass by a known suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2864, 06-29-201715:59, 06-29-201714:35, 06-29-201714:35, 06-29-201714:35, Criminal Trespass,, Male staff reports criminal trespass by known suspect.  Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2016, 05-05-201713:20, 05-04-201722:34, 05-04-201722:34, 05-04-201722:34, Disorderly Conduct,, Male Staff reports Disorderly Conduct by a Known Suspect.  Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2543, 06-09-201722:31, 06-09-201717:41, 06-09-201717:41, 06-09-201717:41, Domestic Violence,, Male staff reports Domestic Violence by Known Suspect. Investigation Pending.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3823, 08-29-201708:28, 08-28-201710:18, 08-28-201710:18, 08-28-201710:18, Drug Paraphernalia,, Male staff reports Drug Paraphernalia by a known suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3498, 08-15-201708:27, 08-14-201707:56, 08-14-201707:40, 08-14-201709:30, Ill Aided,, A male staff member reports Ill Aided. Case closed.
" Rhodes hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-4280, 09-19-201706:17, 09-19-201700:41, 09-19-201700:41, 09-19-201700:41, Ill Aided,, Male staff reports Ill Aided.  Closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3611, 08-20-201705:18, 08-20-201702:58, 08-20-201702:58, 08-20-201702:58, Minors Curfew,, Male staff reports curfew violation. Known suspect. Closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2542, 06-09-201722:29, 06-09-201717:07, 06-09-201717:07, 06-09-201717:07, Missing Person,, Male staff reports missing Individual.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0437, 02-01-201714:29, 02-01-201708:26, 02-01-201707:36, 02-01-201707:36, Possessing Drug Abuse Instruments,, Male staff reports drug abuse instruments by unknown suspect. Case closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1200, 03-19-201706:02, 03-19-201700:17, 03-19-201700:17, 03-19-201700:17, Possessing Drug Abuse Instruments,, Female staff reports Possession of Drug Abuse Instruments and Possession of Drug Paraphernalia by a known suspect.  Case Closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2908, 07-03-201714:32, 07-03-201712:23, 07-03-201712:23, 07-03-201712:23, Possessing Drug Abuse Instruments,, Male staff reports possession of drug abuse instruments by a known suspect. Case Closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-4367, 09-23-201709:30, 09-23-201708:08, 09-23-201707:25, 09-23-201707:25, Possessing Drug Abuse Instruments,, Male staff reports possession of drug abuse instruments by known suspect. case closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1820, 04-22-201720:26, 04-22-201713:02, 04-22-201713:02, 04-22-201713:02, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-2776, 06-27-201713:41, 06-23-201715:35, 06-23-201715:35, 06-23-201716:15, Possession of Drugs,, Male staff reports Possession of Drugs by an unknown suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3968, 09-04-201714:25, 09-04-201709:58, 09-04-201709:58, 09-04-201709:58, Possession of Drugs,," Douglas C. Danford non-affiliate, male, age 28 was arrested for possession of drugs. Arrest-Adult"
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3988, 09-05-201722:48, 09-05-201721:58, 09-05-201720:41, 09-05-201720:41, Possession of Drugs,, Male staff reports Possession of Drugs by a known suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-3381, 08-14-201709:12, 08-07-201711:23, 08-06-201716:30, 08-06-201717:00, Rape,, Female non-affiliate reports rape by a known suspect. Investigation Pending.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1096, 03-18-201714:37, 03-18-201712:02, 03-18-201712:02, 03-18-201712:02, Supplement,," Ronald W. Bryan, non-affiliate, male, age 62 was arrested on an outstanding warrant for Theft.   Arrest-adult"
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-1031, 03-09-201710:06, 03-07-201713:08, 03-07-201710:00, 03-07-201710:30, Telecommunications Harassment,, Female staff reports telecommunications harassment by known suspect. Case closed
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00099, 01-15-201706:15, 01-11-201700:00, 11-26-201600:00, 12-11-201600:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00201, 02-15-201710:20, 01-21-201700:00, 01-20-201700:00, 01-21-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00222, 02-15-201710:20, 01-23-201700:00, 01-20-201700:00, 01-23-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00420, 02-15-201723:14, 02-11-201700:00, 02-09-201700:00, 02-11-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00628, 03-06-201711:38, 03-03-201700:00, 03-02-201700:00, 03-02-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00628, 03-06-201711:38, 03-03-201700:00, 03-02-201700:00, 03-02-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00675, 03-09-201723:07, 03-08-201700:00, 03-06-201700:00, 03-06-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-00736, 03-14-201723:02, 03-14-201700:00, 03-13-201700:00, 03-14-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0096, 01-10-201722:51, 01-10-201719:08, 01-10-201719:08, 01-10-201719:08, Theft,," Female non-affiliate, Jeanette Colleen Cecil, age 39, was arrested for Theft. Arrest adult."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0103, 01-11-201715:19, 01-11-201713:15, 01-11-201713:09, 01-11-201713:15, Theft,," Female non-affiliate, Natalie Sue Weckbacher, age 33, was arrested for Theft. Arrest adult."
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-01053, 04-11-201723:21, 04-10-201700:00, 04-09-201700:00, 04-09-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-01141, 04-19-201723:06, 04-18-201700:00, 03-02-201700:00, 03-16-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-0144, 01-14-201722:13, 01-14-201712:29, 01-14-201712:29, 01-14-201712:29, Theft,, Female non-affiliate reports Theft by an unknown suspect. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-01723, 06-14-201700:05, 06-08-201700:00, 06-07-201700:00, 06-07-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-01723, 06-14-201700:05, 06-08-201700:00, 06-07-201700:00, 06-07-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
" Rhodes Hall Ohio State Campus, Columbus, Ohio",39.9950202,-83.0178574,"39.9950202, -83.0178574",17-01978, 07-14-201708:20, 07-01-201700:00, 06-06-201700:00, 06-16-201700:00, Theft,, Medical Center Security Reports Theft. Victim declined police report. Case closed.
